timestamp,open,high,low,close
1719792000000,3438.16000000,3440.00000000,3438.16000000,3439.01000000
1719792060000,3439.01000000,3439.98000000,3438.20000000,3438.21000000
1719792120000,3438.21000000,3438.21000000,3437.35000000,3437.36000000
1719792180000,3437.36000000,3438.38000000,3437.07000000,3437.65000000
1719792240000,3437.65000000,3437.68000000,3437.01000000,3437.02000000
1719792300000,3437.01000000,3439.37000000,3437.01000000,3439.22000000
1719792360000,3439.21000000,3439.39000000,3437.27000000,3437.60000000
1719792420000,3437.60000000,3438.48000000,3436.92000000,3436.93000000
1719792480000,3436.93000000,3436.93000000,3435.85000000,3435.86000000
1719792540000,3435.85000000,3435.86000000,3433.80000000,3433.81000000
1719792600000,3433.80000000,3435.22000000,3432.80000000,3433.79000000
1719792660000,3433.79000000,3433.79000000,3432.55000000,3432.56000000
1719792720000,3432.55000000,3435.00000000,3432.55000000,3434.99000000
1719792780000,3435.00000000,3435.56000000,3433.48000000,3433.48000000
1719792840000,3433.49000000,3435.74000000,3433.49000000,3435.74000000
1719792900000,3435.74000000,3436.00000000,3435.02000000,3435.10000000
1719792960000,3435.10000000,3437.50000000,3435.09000000,3437.50000000
1719793020000,3437.50000000,3438.89000000,3436.00000000,3437.15000000
1719793080000,3437.15000000,3439.32000000,3437.15000000,3439.32000000
1719793140000,3439.32000000,3439.91000000,3437.60000000,3438.27000000
1719793200000,3438.27000000,3440.50000000,3438.27000000,3440.50000000
1719793260000,3440.50000000,3442.46000000,3440.49000000,3441.08000000
1719793320000,3441.08000000,3441.09000000,3439.02000000,3439.03000000
1719793380000,3439.03000000,3440.40000000,3439.02000000,3440.39000000
1719793440000,3440.40000000,3440.40000000,3438.28000000,3438.29000000
1719793500000,3438.28000000,3438.29000000,3437.68000000,3438.00000000
1719793560000,3438.00000000,3440.00000000,3438.00000000,3440.00000000
1719793620000,3439.99000000,3441.00000000,3439.99000000,3440.99000000
1719793680000,3440.99000000,3441.77000000,3440.99000000,3441.76000000
