timestamp,open,high,low,close
1711929600000,71280.00000000,71288.23000000,71180.00000000,71186.00000000
1711929660000,71186.01000000,71255.93000000,71172.09000000,71220.01000000
1711929720000,71220.01000000,71220.01000000,71130.00000000,71155.92000000
1711929780000,71155.92000000,71223.08000000,71107.71000000,71223.07000000
1711929840000,71223.07000000,71249.57000000,71215.95000000,71233.42000000
1711929900000,71233.42000000,71236.50000000,71215.61000000,71224.58000000
1711929960000,71224.58000000,71224.58000000,71115.73000000,71141.99000000
1711930020000,71142.00000000,71178.00000000,71141.99000000,71154.67000000
1711930080000,71154.68000000,71154.68000000,71140.92000000,71140.93000000
1711930140000,71140.93000000,71194.00000000,71140.92000000,71193.99000000
1711930200000,71194.00000000,71194.00000000,71124.00000000,71126.58000000
1711930260000,71126.57000000,71149.99000000,71126.57000000,71149.99000000
1711930320000,71149.98000000,71149.99000000,71136.40000000,71136.40000000
1711930380000,71136.40000000,71154.45000000,71136.40000000,71154.44000000
1711930440000,71154.45000000,71154.45000000,71140.00000000,71140.01000000
1711930500000,71140.00000000,71170.00000000,71107.50000000,71130.48000000
1711930560000,71130.49000000,71136.00000000,71102.00000000,71131.94000000
1711930620000,71131.93000000,71157.20000000,71130.63000000,71140.82000000
1711930680000,71140.82000000,71174.00000000,71140.82000000,71174.00000000
1711930740000,71173.99000000,71184.30000000,71173.99000000,71184.29000000
1711930800000,71184.30000000,71184.30000000,71164.00000000,71184.27000000
1711930860000,71184.27000000,71184.28000000,71152.49000000,71152.50000000
1711930920000,71152.50000000,71174.58000000,71152.49000000,71174.58000000
1711930980000,71174.58000000,71183.91000000,71174.57000000,71181.21000000
1711931040000,71181.21000000,71181.22000000,71181.21000000,71181.21000000
1711931100000,71181.21000000,71181.22000000,71178.38000000,71178.38000000
1711931160000,71178.39000000,71178.39000000,71115.24000000,71121.51000000
1711931220000,71121.51000000,71121.52000000,71065.40000000,71068.67000000
1711931280000,71068.68000000,71079.32000000,71068.67000000,71078.00000000
1711931340000,71077.99000000,71078.00000000,71077.99000000,71078.00000000
1711931400000,71077.99000000,71084.00000000,71061.05000000,71084.00000000
1711931460000,71084.00000000,71117.82000000,71083.99000000,71117.82000000
1711931520000,71117.81000000,71117.82000000,71082.00000000,71093.99000000
1711931580000,71094.00000000,71094.00000000,71083.33000000,71088.31000000
1711931640000,71088.32000000,71088.32000000,71072.01000000,71079.11000000
1711931700000,71079.12000000,71079.12000000,71043.77000000,71043.77000000
1711931760000,71043.78000000,71043.78000000,70990.00000000,71008.40000000
1711931820000,71008.41000000,71013.89000000,70983.63000000,71013.89000000
1711931880000,71013.89000000,71024.51000000,71013.88000000,71024.51000000
1711931940000,71024.50000000,71037.01000000,71016.26000000,71016.27000000
1711932000000,71016.27000000,71016.27000000,70931.32000000,70972.00000000
1711932060000,70971.99000000,70972.00000000,70913.31000000,70913.31000000
1711932120000,70913.32000000,70913.32000000,70844.14000000,70900.00000000
1711932180000,70899.99000000,70927.98000000,70899.99000000,70927.98000000
1711932240000,70927.98000000,70930.60000000,70903.01000000,70919.74000000
1711932300000,70919.75000000,70923.60000000,70880.00000000,70923.60000000
1711932360000,70923.59000000,70998.95000000,70923.59000000,70968.40000000
1711932420000,70968.40000000,70996.17000000,70968.39000000,70992.51000000
1711932480000,70992.52000000,71061.20000000,70992.51000000,71061.20000000
1711932540000,71061.20000000,71065.99000000,71046.00000000,71050.88000000
1711932600000,71050.89000000,71050.89000000,71014.00000000,71016.39000000
1711932660000,71016.40000000,71016.40000000,71000.05000000,71000.05000000
1711932720000,71000.06000000,71000.06000000,71000.01000000,71000.02000000
1711932780000,71000.01000000,71060.00000000,71000.01000000,71054.01000000
1711932840000,71054.00000000,71054.01000000,71046.00000000,71048.01000000
1711932900000,71048.01000000,71052.00000000,71026.00000000,71051.99000000
1711932960000,71051.99000000,71067.57000000,71051.99000000,71052.01000000
1711933020000,71052.01000000,71126.50000000,71052.00000000,71123.28000000
1711933080000,71123.29000000,71134.17000000,71123.28000000,71134.16000000
1711933140000,71134.17000000,71152.87000000,71134.16000000,71152.86000000
1711933200000,71152.86000000,71161.76000000,71121.50000000,71121.51000000
1711933260000,71121.51000000,71172.08000000,71121.50000000,71172.08000000
1711933320000,71172.08000000,71172.08000000,71115.75000000,71119.99000000
1711933380000,71120.00000000,71127.10000000,71119.99000000,71122.45000000
1711933440000,71122.45000000,71122.46000000,71113.99000000,71114.00000000
1711933500000,71114.00000000,71129.56000000,71113.99000000,71129.55000000
1711933560000,71129.55000000,71129.56000000,71116.08000000,71126.00000000
1711933620000,71126.00000000,71126.00000000,71060.00000000,71060.00000000
1711933680000,71060.01000000,71074.35000000,71050.00000000,71050.01000000
1711933740000,71050.00000000,71080.00000000,71049.93000000,71079.99000000
1711933800000,71079.99000000,71080.00000000,71059.93000000,71059.94000000
1711933860000,71059.94000000,71059.94000000,71045.18000000,71052.28000000
1711933920000,71052.27000000,71055.32000000,71010.00000000,71010.00000000
1711933980000,71010.00000000,71017.10000000,71010.00000000,71017.09000000
1711934040000,71017.09000000,71057.45000000,71017.09000000,71057.44000000
1711934100000,71057.45000000,71075.60000000,71053.10000000,71053.11000000
1711934160000,71053.10000000,71053.11000000,71000.01000000,71000.02000000
1711934220000,71000.01000000,71020.32000000,71000.01000000,71018.01000000
1711934280000,71018.01000000,71018.01000000,70980.12000000,70980.13000000
1711934340000,70980.13000000,70991.50000000,70962.00000000,70962.00000000
1711934400000,70962.00000000,70962.01000000,70960.00000000,70960.00000000
1711934460000,70960.01000000,70967.10000000,70952.90000000,70952.90000000
1711934520000,70952.90000000,70974.19000000,70952.90000000,70974.19000000
1711934580000,70974.19000000,71006.00000000,70974.18000000,71006.00000000
1711934640000,71005.99000000,71087.90000000,71005.99000000,71042.59000000
1711934700000,71042.59000000,71047.09000000,71012.38000000,71016.65000000
1711934760000,71016.65000000,71036.00000000,70996.92000000,71015.74000000
1711934820000,71015.74000000,71028.41000000,70999.22000000,71012.01000000
1711934880000,71012.01000000,71025.09000000,70969.35000000,70969.36000000
1711934940000,70969.35000000,70969.36000000,70941.18000000,70948.26000000
1711935000000,70948.27000000,70970.00000000,70941.18000000,70969.99000000
1711935060000,70970.00000000,71027.60000000,70969.99000000,71027.59000000
1711935120000,71027.60000000,71040.00000000,71027.59000000,71040.00000000
1711935180000,71040.00000000,71076.41000000,71039.99000000,71064.33000000
1711935240000,71064.34000000,71082.00000000,71060.06000000,71081.99000000
1711935300000,71082.00000000,71082.00000000,71027.10000000,71027.10000000
1711935360000,71027.11000000,71027.11000000,70985.28000000,70985.29000000
1711935420000,70985.29000000,71050.00000000,70985.28000000,71049.99000000
1711935480000,71050.00000000,71050.00000000,70930.00000000,70930.00000000
1711935540000,70930.01000000,70930.01000000,70829.45000000,70837.84000000
