timestamp,open,high,low,close
1709251200000,61130.99000000,61197.66000000,61126.00000000,61196.00000000
1709251260000,61196.00000000,61217.41000000,61162.00000000,61185.84000000
1709251320000,61185.85000000,61201.10000000,61140.60000000,61147.58000000
1709251380000,61147.58000000,61186.26000000,61131.10000000,61163.85000000
1709251440000,61163.85000000,61173.27000000,61129.91000000,61129.92000000
1709251500000,61129.91000000,61229.70000000,61129.91000000,61229.69000000
1709251560000,61229.69000000,61260.25000000,61229.69000000,61260.24000000
1709251620000,61260.24000000,61325.58000000,61260.24000000,61316.54000000
1709251680000,61316.53000000,61327.74000000,61298.13000000,61317.48000000
1709251740000,61317.48000000,61338.72000000,61297.55000000,61297.55000000
1709251800000,61297.56000000,61338.12000000,61293.17000000,61324.58000000
1709251860000,61324.58000000,61338.11000000,61306.00000000,61306.01000000
1709251920000,61306.00000000,61306.01000000,61258.00000000,61265.81000000
1709251980000,61265.80000000,61265.81000000,61255.17000000,61255.17000000
1709252040000,61255.18000000,61263.99000000,61224.48000000,61224.49000000
1709252100000,61224.49000000,61224.49000000,61193.71000000,61212.35000000
1709252160000,61212.34000000,61291.53000000,61207.24000000,61291.53000000
1709252220000,61291.53000000,61443.38000000,61291.52000000,61439.65000000
1709252280000,61439.66000000,61451.54000000,61397.05000000,61442.00000000
1709252340000,61442.00000000,61466.56000000,61429.71000000,61462.12000000
1709252400000,61462.12000000,61488.71000000,61451.10000000,61474.00000000
1709252460000,61474.00000000,61485.98000000,61431.10000000,61431.10000000
1709252520000,61431.10000000,61439.07000000,61416.00000000,61421.33000000
1709252580000,61421.32000000,61431.09000000,61406.00000000,61412.07000000
1709252640000,61412.07000000,61417.99000000,61386.04000000,61415.99000000
1709252700000,61416.00000000,61499.60000000,61415.39000000,61481.99000000
1709252760000,61482.00000000,61522.33000000,61481.99000000,61512.00000000
1709252820000,61512.00000000,61628.58000000,61500.00000000,61628.57000000
1709252880000,61628.57000000,61699.31000000,61572.01000000,61698.02000000
1709252940000,61698.01000000,61749.00000000,61671.10000000,61716.74000000
1709253000000,61716.74000000,61741.10000000,61640.76000000,61657.27000000
1709253060000,61657.26000000,61694.09000000,61641.10000000,61651.11000000
1709253120000,61651.10000000,61659.18000000,61585.11000000,61608.72000000
1709253180000,61608.72000000,61608.72000000,61580.64000000,61580.64000000
1709253240000,61580.65000000,61580.65000000,61541.10000000,61561.09000000
1709253300000,61561.10000000,61641.10000000,61519.42000000,61641.09000000
1709253360000,61641.09000000,61714.08000000,61626.66000000,61676.01000000
1709253420000,61676.00000000,61676.01000000,61621.10000000,61621.11000000
1709253480000,61621.10000000,61647.99000000,61572.77000000,61581.32000000
1709253540000,61581.33000000,61640.00000000,61575.36000000,61640.00000000
1709253600000,61639.99000000,61640.00000000,61591.10000000,61601.91000000
1709253660000,61601.91000000,61621.10000000,61592.54000000,61592.54000000
1709253720000,61592.55000000,61610.02000000,61592.54000000,61599.27000000
1709253780000,61599.28000000,61632.63000000,61581.11000000,61602.95000000
1709253840000,61602.96000000,61602.96000000,61574.00000000,61583.53000000
1709253900000,61583.52000000,61583.53000000,61447.30000000,61463.25000000
1709253960000,61463.24000000,61494.96000000,61454.45000000,61470.05000000
1709254020000,61470.06000000,61493.53000000,61460.38000000,61464.79000000
1709254080000,61464.80000000,61511.08000000,61464.30000000,61481.20000000
1709254140000,61481.19000000,61504.25000000,61481.19000000,61502.08000000
1709254200000,61502.09000000,61562.01000000,61487.48000000,61562.01000000
1709254260000,61562.00000000,61562.01000000,61513.98000000,61534.15000000
1709254320000,61534.14000000,61580.00000000,61534.14000000,61580.00000000
1709254380000,61580.00000000,61640.00000000,61579.99000000,61635.40000000
1709254440000,61635.39000000,61649.99000000,61580.02000000,61580.03000000
1709254500000,61580.03000000,61581.10000000,61544.01000000,61553.18000000
1709254560000,61553.19000000,61575.99000000,61526.70000000,61528.40000000
1709254620000,61528.41000000,61528.41000000,61482.96000000,61521.10000000
1709254680000,61521.09000000,61521.10000000,61484.83000000,61484.83000000
1709254740000,61484.84000000,61520.96000000,61484.83000000,61501.11000000
1709254800000,61501.10000000,61501.11000000,61420.14000000,61438.00000000
1709254860000,61438.00000000,61455.78000000,61376.79000000,61385.31000000
1709254920000,61385.31000000,61427.32000000,61382.83000000,61391.49000000
1709254980000,61391.49000000,61394.43000000,61336.07000000,61386.94000000
1709255040000,61386.94000000,61413.02000000,61373.99000000,61391.10000000
1709255100000,61391.10000000,61399.98000000,61376.87000000,61399.65000000
1709255160000,61399.65000000,61399.66000000,61331.42000000,61331.42000000
1709255220000,61331.42000000,61355.63000000,61313.63000000,61355.62000000
1709255280000,61355.63000000,61367.72000000,61288.00000000,61291.24000000
1709255340000,61291.24000000,61325.18000000,61283.60000000,61311.09000000
1709255400000,61311.09000000,61363.72000000,61302.82000000,61363.71000000
1709255460000,61363.72000000,61460.00000000,61363.71000000,61434.02000000
1709255520000,61434.02000000,61475.78000000,61426.00000000,61448.30000000
1709255580000,61448.31000000,61448.31000000,61380.00000000,61380.00000000
1709255640000,61380.00000000,61380.00000000,61330.00000000,61340.71000000
1709255700000,61340.70000000,61340.71000000,61292.04000000,61331.09000000
