timestamp,open,high,low,close
1690848000000,29232.26000000,29232.26000000,29230.00000000,29230.00000000
1690848060000,29230.01000000,29230.01000000,29228.94000000,29228.94000000
1690848120000,29228.94000000,29228.95000000,29228.94000000,29228.95000000
1690848180000,29228.95000000,29228.95000000,29228.94000000,29228.95000000
1690848240000,29228.94000000,29228.95000000,29228.94000000,29228.94000000
1690848300000,29228.94000000,29228.95000000,29216.52000000,29216.53000000
1690848360000,29216.52000000,29216.53000000,29212.00000000,29212.01000000
1690848420000,29212.01000000,29214.00000000,29210.99000000,29212.01000000
1690848480000,29212.01000000,29212.01000000,29212.00000000,29212.00000000
1690848540000,29212.01000000,29212.01000000,29212.00000000,29212.01000000
1690848600000,29212.01000000,29218.00000000,29212.00000000,29218.00000000
1690848660000,29217.99000000,29218.00000000,29217.99000000,29218.00000000
1690848720000,29218.00000000,29218.00000000,29217.99000000,29217.99000000
1690848780000,29218.00000000,29222.90000000,29217.99000000,29222.90000000
1690848840000,29222.90000000,29222.90000000,29222.89000000,29222.90000000
1690848900000,29222.90000000,29225.56000000,29222.89000000,29225.56000000
1690848960000,29225.56000000,29227.43000000,29225.55000000,29227.42000000
1690849020000,29227.42000000,29228.00000000,29227.42000000,29227.99000000
1690849080000,29227.99000000,29228.00000000,29227.99000000,29227.99000000
1690849140000,29228.00000000,29232.92000000,29224.01000000,29232.92000000
1690849200000,29232.91000000,29242.50000000,29232.91000000,29242.49000000
1690849260000,29242.49000000,29249.96000000,29242.49000000,29249.96000000
1690849320000,29249.95000000,29249.96000000,29246.00000000,29246.01000000
1690849380000,29246.00000000,29246.01000000,29238.92000000,29238.93000000
1690849440000,29238.94000000,29238.94000000,29234.32000000,29234.33000000
1690849500000,29234.32000000,29240.00000000,29234.32000000,29240.00000000
1690849560000,29240.00000000,29240.00000000,29239.96000000,29239.97000000
1690849620000,29239.96000000,29239.97000000,29234.85000000,29234.86000000
1690849680000,29234.86000000,29237.15000000,29229.96000000,29237.15000000
1690849740000,29237.14000000,29242.00000000,29237.14000000,29241.99000000
1690849800000,29242.00000000,29246.00000000,29241.71000000,29246.00000000
1690849860000,29246.00000000,29252.50000000,29245.99000000,29252.50000000
1690849920000,29252.49000000,29254.83000000,29252.49000000,29254.83000000
1690849980000,29254.83000000,29254.83000000,29253.01000000,29253.02000000
1690850040000,29253.02000000,29253.02000000,29251.33000000,29251.34000000
1690850100000,29251.33000000,29251.34000000,29249.04000000,29249.05000000
1690850160000,29249.05000000,29249.05000000,29248.00000000,29248.01000000
1690850220000,29248.01000000,29248.01000000,29247.01000000,29247.01000000
1690850280000,29247.01000000,29247.51000000,29242.71000000,29247.50000000
1690850340000,29247.51000000,29257.19000000,29247.50000000,29257.18000000
1690850400000,29257.18000000,29257.19000000,29251.03000000,29251.04000000
1690850460000,29251.04000000,29261.06000000,29250.87000000,29261.05000000
1690850520000,29261.05000000,29264.67000000,29257.57000000,29264.67000000
1690850580000,29264.66000000,29265.35000000,29262.95000000,29262.96000000
1690850640000,29262.96000000,29262.96000000,29262.95000000,29262.96000000
1690850700000,29262.96000000,29270.00000000,29262.95000000,29269.99000000
1690850760000,29269.99000000,29270.00000000,29269.99000000,29269.99000000
1690850820000,29269.99000000,29278.16000000,29269.99000000,29278.16000000
1690850880000,29278.15000000,29279.00000000,29278.15000000,29279.00000000
1690850940000,29279.00000000,29279.00000000,29278.99000000,29279.00000000
1690851000000,29278.99000000,29279.00000000,29278.99000000,29279.00000000
1690851060000,29278.99000000,29279.00000000,29278.99000000,29278.99000000
1690851120000,29279.00000000,29279.00000000,29266.51000000,29266.51000000
1690851180000,29266.52000000,29269.49000000,29266.51000000,29269.48000000
1690851240000,29269.48000000,29271.55000000,29269.48000000,29271.55000000
1690851300000,29271.55000000,29271.55000000,29271.54000000,29271.55000000
1690851360000,29271.55000000,29274.81000000,29271.54000000,29274.80000000
1690851420000,29274.80000000,29287.46000000,29274.80000000,29287.45000000
1690851480000,29287.46000000,29288.20000000,29287.45000000,29288.19000000
1690851540000,29288.20000000,29288.20000000,29283.96000000,29283.96000000
1690851600000,29283.96000000,29288.20000000,29283.96000000,29287.49000000
1690851660000,29287.50000000,29287.50000000,29284.01000000,29287.49000000
1690851720000,29287.50000000,29287.50000000,29287.49000000,29287.50000000
1690851780000,29287.50000000,29291.45000000,29285.25000000,29291.44000000
1690851840000,29291.44000000,29334.00000000,29291.44000000,29332.09000000
1690851900000,29332.09000000,29339.40000000,29318.05000000,29321.99000000
1690851960000,29322.00000000,29327.87000000,29321.99000000,29327.87000000
1690852020000,29327.87000000,29327.87000000,29308.01000000,29308.01000000
1690852080000,29308.02000000,29320.00000000,29306.00000000,29320.00000000
1690852140000,29320.00000000,29323.75000000,29318.00000000,29323.66000000
1690852200000,29323.66000000,29332.54000000,29323.65000000,29332.54000000
1690852260000,29332.53000000,29347.16000000,29332.53000000,29347.16000000
1690852320000,29347.15000000,29347.16000000,29340.41000000,29343.29000000
1690852380000,29343.29000000,29343.29000000,29338.00000000,29338.01000000
1690852440000,29338.01000000,29338.01000000,29330.69000000,29330.69000000
1690852500000,29330.70000000,29336.00000000,29314.00000000,29314.00000000
1690852560000,29314.00000000,29316.00000000,29309.03000000,29309.03000000
1690852620000,29309.03000000,29311.66000000,29306.54000000,29306.55000000
1690852680000,29306.55000000,29306.55000000,29300.00000000,29300.01000000
1690852740000,29300.01000000,29300.01000000,29298.00000000,29300.00000000
1690852800000,29299.99000000,29300.00000000,29297.86000000,29297.87000000
1690852860000,29297.87000000,29297.87000000,29291.86000000,29291.87000000
1690852920000,29291.87000000,29291.87000000,29291.21000000,29291.22000000
1690852980000,29291.21000000,29291.22000000,29280.00000000,29280.01000000
1690853040000,29280.01000000,29280.01000000,29274.83000000,29274.84000000
1690853100000,29274.83000000,29274.84000000,29273.08000000,29274.82000000
1690853160000,29274.83000000,29274.83000000,29262.03000000,29268.27000000
1690853220000,29268.28000000,29268.28000000,29268.27000000,29268.27000000
1690853280000,29268.27000000,29268.28000000,29268.27000000,29268.28000000
1690853340000,29268.27000000,29268.28000000,29267.00000000,29267.00000000
1690853400000,29267.00000000,29267.01000000,29256.81000000,29256.82000000
1690853460000,29256.81000000,29256.82000000,29250.00000000,29252.97000000
1690853520000,29252.97000000,29252.97000000,29243.35000000,29243.44000000
1690853580000,29243.44000000,29243.45000000,29225.35000000,29225.35000000
1690853640000,29225.35000000,29231.26000000,29225.05000000,29230.68000000
1690853700000,29230.69000000,29243.23000000,29230.68000000,29236.93000000
1690853760000,29236.93000000,29241.99000000,29236.92000000,29241.98000000
1690853820000,29241.99000000,29249.03000000,29240.04000000,29248.00000000
1690853880000,29248.00000000,29251.98000000,29244.51000000,29251.98000000
1690853940000,29251.98000000,29255.76000000,29250.00000000,29255.76000000
1690854000000,29255.76000000,29255.76000000,29252.97000000,29252.97000000
1690854060000,29252.97000000,29252.98000000,29239.38000000,29239.39000000
1690854120000,29239.39000000,29239.39000000,29237.30000000,29237.31000000
1690854180000,29237.30000000,29246.00000000,29237.30000000,29244.27000000
1690854240000,29244.28000000,29246.88000000,29244.27000000,29246.87000000
1690854300000,29246.87000000,29250.00000000,29238.55000000,29238.55000000
1690854360000,29238.55000000,29238.56000000,29236.00000000,29236.01000000
1690854420000,29236.00000000,29236.01000000,29231.61000000,29231.61000000
1690854480000,29231.61000000,29234.00000000,29229.10000000,29233.99000000
1690854540000,29233.99000000,29234.00000000,29225.77000000,29225.77000000
1690854600000,29225.78000000,29225.78000000,29207.69000000,29207.70000000
1690854660000,29207.69000000,29215.46000000,29207.69000000,29211.80000000
1690854720000,29211.81000000,29216.00000000,29208.00000000,29208.00000000
1690854780000,29208.01000000,29208.01000000,29195.00000000,29195.00000000
1690854840000,29195.00000000,29199.54000000,29182.00000000,29188.00000000
1690854900000,29187.99000000,29188.00000000,29169.92000000,29170.00000000
1690854960000,29170.00000000,29191.83000000,29169.37000000,29191.82000000
1690855020000,29191.82000000,29191.83000000,29188.01000000,29190.72000000
1690855080000,29190.73000000,29206.00000000,29190.72000000,29203.25000000
1690855140000,29203.26000000,29203.26000000,29200.53000000,29200.54000000
1690855200000,29200.53000000,29208.39000000,29200.53000000,29208.38000000
1690855260000,29208.39000000,29210.43000000,29200.72000000,29200.73000000
1690855320000,29200.73000000,29205.33000000,29199.31000000,29205.32000000
1690855380000,29205.31000000,29207.24000000,29204.00000000,29207.08000000
1690855440000,29207.08000000,29218.74000000,29207.07000000,29216.39000000
1690855500000,29216.39000000,29216.39000000,29210.00000000,29210.01000000
1690855560000,29210.00000000,29211.33000000,29206.52000000,29211.32000000
1690855620000,29211.33000000,29215.01000000,29204.00000000,29209.48000000
1690855680000,29209.48000000,29209.49000000,29202.87000000,29202.88000000
1690855740000,29202.88000000,29202.88000000,29035.04000000,29042.00000000
1690855800000,29042.00000000,29046.00000000,28720.00000000,28829.84000000
1690855860000,28831.84000000,28931.50000000,28812.88000000,28921.99000000
1690855920000,28921.99000000,28941.82000000,28853.85000000,28934.12000000
1690855980000,28934.13000000,28955.21000000,28933.80000000,28949.46000000
1690856040000,28949.46000000,28960.60000000,28928.56000000,28928.56000000
1690856100000,28928.56000000,28964.66000000,28913.70000000,28957.90000000
1690856160000,28957.90000000,28988.00000000,28946.00000000,28988.00000000
1690856220000,28988.00000000,28993.82000000,28967.50000000,28974.99000000
1690856280000,28974.99000000,28986.73000000,28960.00000000,28985.00000000
1690856340000,28984.99000000,29012.00000000,28984.99000000,29011.11000000
1690856400000,29011.11000000,29011.11000000,28994.00000000,28994.01000000
1690856460000,28994.00000000,29000.00000000,28978.21000000,28989.99000000
1690856520000,28990.00000000,28991.99000000,28974.78000000,28988.88000000
1690856580000,28988.88000000,28990.00000000,28960.00000000,28974.00000000
1690856640000,28974.00000000,28974.01000000,28932.88000000,28932.89000000
1690856700000,28932.89000000,28961.79000000,28931.14000000,28961.79000000
1690856760000,28961.79000000,28978.79000000,28961.78000000,28978.78000000
1690856820000,28978.79000000,28978.79000000,28968.00000000,28974.00000000
1690856880000,28974.00000000,28976.00000000,28970.47000000,28970.48000000
1690856940000,28970.47000000,28977.85000000,28968.64000000,28976.00000000
1690857000000,28976.01000000,28990.00000000,28960.87000000,28990.00000000
1690857060000,28989.99000000,28990.00000000,28962.00000000,28962.00000000
1690857120000,28962.00000000,28962.01000000,28946.00000000,28951.04000000
1690857180000,28951.03000000,28974.87000000,28951.03000000,28974.87000000
1690857240000,28974.86000000,28974.87000000,28966.18000000,28969.77000000
1690857300000,28969.76000000,28971.68000000,28969.76000000,28971.68000000
1690857360000,28971.68000000,28971.68000000,28947.12000000,28952.50000000
1690857420000,28952.50000000,28952.50000000,28948.43000000,28952.00000000
1690857480000,28952.00000000,28962.00000000,28952.00000000,28961.99000000
1690857540000,28961.99000000,28963.24000000,28951.99000000,28961.00000000
1690857600000,28961.01000000,28961.01000000,28951.99000000,28951.99000000
1690857660000,28952.00000000,28952.00000000,28950.16000000,28950.17000000
1690857720000,28950.16000000,28981.99000000,28950.16000000,28981.99000000
1690857780000,28981.98000000,28981.99000000,28974.00000000,28976.73000000
1690857840000,28976.74000000,28981.99000000,28976.73000000,28980.01000000
1690857900000,28980.01000000,28980.01000000,28965.99000000,28965.99000000
1690857960000,28966.00000000,28966.00000000,28959.11000000,28959.13000000
1690858020000,28959.13000000,28973.82000000,28959.12000000,28973.81000000
1690858080000,28973.81000000,28976.00000000,28970.00000000,28974.00000000
1690858140000,28973.99000000,28979.92000000,28969.96000000,28969.96000000
1690858200000,28969.96000000,28969.97000000,28964.28000000,28964.28000000
1690858260000,28964.29000000,28964.29000000,28955.03000000,28955.53000000
1690858320000,28955.54000000,28955.54000000,28951.17000000,28951.17000000
1690858380000,28951.18000000,28956.00000000,28951.17000000,28954.01000000
1690858440000,28954.01000000,28954.02000000,28946.73000000,28948.73000000
1690858500000,28948.73000000,28949.63000000,28939.86000000,28945.99000000
1690858560000,28946.00000000,28946.00000000,28937.75000000,28942.45000000
1690858620000,28942.45000000,28943.55000000,28936.16000000,28940.67000000
1690858680000,28940.67000000,28940.67000000,28933.22000000,28933.23000000
1690858740000,28933.22000000,28933.23000000,28928.22000000,28933.22000000
1690858800000,28933.22000000,28933.22000000,28911.33000000,28912.79000000
1690858860000,28912.78000000,28917.71000000,28896.34000000,28903.35000000
1690858920000,28903.36000000,28925.67000000,28882.77000000,28925.67000000
1690858980000,28925.66000000,28933.22000000,28924.00000000,28933.22000000
1690859040000,28933.21000000,28944.00000000,28928.00000000,28928.01000000
1690859100000,28928.01000000,28928.87000000,28911.49000000,28912.00000000
1690859160000,28912.01000000,28916.00000000,28908.93000000,28910.02000000
1690859220000,28910.03000000,28911.10000000,28904.82000000,28911.09000000
1690859280000,28911.10000000,28931.06000000,28911.09000000,28918.59000000
1690859340000,28918.59000000,28935.75000000,28918.58000000,28935.74000000
1690859400000,28935.75000000,28936.46000000,28930.01000000,28933.99000000
1690859460000,28934.00000000,28943.99000000,28932.12000000,28943.98000000
1690859520000,28943.99000000,28943.99000000,28943.98000000,28943.99000000
1690859580000,28943.98000000,28949.85000000,28943.98000000,28949.85000000
1690859640000,28949.85000000,28949.85000000,28946.01000000,28946.01000000
1690859700000,28946.02000000,28951.12000000,28928.00000000,28928.00000000
1690859760000,28928.00000000,28928.01000000,28924.27000000,28924.28000000
1690859820000,28924.27000000,28929.82000000,28924.27000000,28929.82000000
1690859880000,28929.82000000,28929.82000000,28924.28000000,28924.28000000
1690859940000,28924.28000000,28924.29000000,28922.38000000,28922.38000000
1690860000000,28922.39000000,28922.39000000,28913.71000000,28913.71000000
1690860060000,28913.72000000,28913.72000000,28908.00000000,28908.01000000
1690860120000,28908.01000000,28908.01000000,28885.12000000,28894.60000000
1690860180000,28894.61000000,28922.39000000,28894.60000000,28914.00000000
1690860240000,28914.00000000,28914.01000000,28904.64000000,28904.64000000
1690860300000,28904.64000000,28904.65000000,28892.42000000,28892.43000000
1690860360000,28892.43000000,28892.43000000,28866.46000000,28886.17000000
1690860420000,28886.17000000,28915.41000000,28886.16000000,28912.52000000
1690860480000,28912.51000000,28912.52000000,28901.16000000,28901.17000000
1690860540000,28901.17000000,28904.00000000,28899.67000000,28904.00000000
1690860600000,28904.00000000,28908.00000000,28899.67000000,28905.00000000
1690860660000,28905.00000000,28910.00000000,28904.99000000,28910.00000000
1690860720000,28910.00000000,28912.52000000,28908.30000000,28908.31000000
1690860780000,28908.31000000,28912.50000000,28901.32000000,28902.50000000
1690860840000,28902.50000000,28902.51000000,28890.73000000,28893.11000000
1690860900000,28893.11000000,28893.11000000,28876.48000000,28883.99000000
1690860960000,28883.99000000,28887.50000000,28883.99000000,28887.49000000
1690861020000,28887.50000000,28888.00000000,28886.00000000,28886.02000000
1690861080000,28886.02000000,28893.89000000,28868.25000000,28871.01000000
1690861140000,28871.00000000,28874.00000000,28863.64000000,28873.99000000
1690861200000,28874.00000000,28881.84000000,28865.00000000,28865.01000000
1690861260000,28865.01000000,28880.68000000,28865.00000000,28868.80000000
1690861320000,28868.80000000,28868.80000000,28855.00000000,28856.74000000
1690861380000,28856.74000000,28870.00000000,28856.73000000,28870.00000000
1690861440000,28870.00000000,28877.61000000,28869.99000000,28877.61000000
1690861500000,28877.61000000,28882.00000000,28877.60000000,28880.02000000
1690861560000,28880.02000000,28880.02000000,28865.30000000,28865.31000000
1690861620000,28865.31000000,28867.62000000,28865.30000000,28866.84000000
1690861680000,28866.85000000,28866.85000000,28854.00000000,28854.00000000
1690861740000,28854.00000000,28864.84000000,28838.73000000,28864.83000000
1690861800000,28864.83000000,28864.84000000,28850.00000000,28851.99000000
1690861860000,28852.00000000,28853.56000000,28851.99000000,28853.00000000
1690861920000,28853.01000000,28853.01000000,28848.53000000,28848.90000000
1690861980000,28848.91000000,28853.92000000,28848.00000000,28848.00000000
1690862040000,28848.01000000,28851.55000000,28842.92000000,28851.55000000
1690862100000,28851.54000000,28851.55000000,28850.01000000,28850.01000000
1690862160000,28850.01000000,28850.02000000,28844.24000000,28844.25000000
1690862220000,28844.25000000,28844.25000000,28817.25000000,28822.00000000
1690862280000,28822.00000000,28828.59000000,28813.86000000,28828.58000000
1690862340000,28828.59000000,28838.00000000,28828.58000000,28835.00000000
1690862400000,28835.01000000,28835.01000000,28820.12000000,28825.87000000
1690862460000,28825.88000000,28825.88000000,28803.50000000,28815.36000000
1690862520000,28815.36000000,28832.91000000,28815.36000000,28832.90000000
1690862580000,28832.91000000,28836.98000000,28826.84000000,28835.35000000
1690862640000,28835.35000000,28850.00000000,28835.35000000,28848.48000000
1690862700000,28848.48000000,28858.92000000,28848.47000000,28858.92000000
1690862760000,28858.92000000,28860.00000000,28854.00000000,28859.63000000
1690862820000,28859.63000000,28859.63000000,28856.00000000,28856.01000000
1690862880000,28856.01000000,28866.00000000,28856.00000000,28864.07000000
1690862940000,28864.07000000,28866.26000000,28864.06000000,28866.25000000
1690863000000,28866.26000000,28867.47000000,28854.00000000,28854.01000000
1690863060000,28854.01000000,28854.01000000,28849.41000000,28851.69000000
1690863120000,28851.69000000,28853.25000000,28850.00000000,28850.00000000
1690863180000,28850.01000000,28850.01000000,28848.47000000,28848.47000000
1690863240000,28848.47000000,28849.87000000,28840.00000000,28849.86000000
1690863300000,28849.87000000,28851.01000000,28846.00000000,28851.01000000
1690863360000,28851.01000000,28864.15000000,28851.00000000,28863.99000000
1690863420000,28864.00000000,28868.83000000,28862.81000000,28862.82000000
1690863480000,28862.81000000,28876.94000000,28862.81000000,28875.27000000
1690863540000,28875.27000000,28876.70000000,28866.00000000,28876.70000000
1690863600000,28876.70000000,28878.01000000,28866.00000000,28866.00000000
1690863660000,28866.01000000,28866.01000000,28824.99000000,28849.01000000
