timestamp,open,high,low,close
1759276800000000,114048.94000000,114100.00000000,114048.93000000,114100.00000000
1759276860000000,114100.00000000,114222.95000000,114099.99000000,114172.00000000
1759276920000000,114171.99000000,114182.87000000,114145.10000000,114166.99000000
1759276980000000,114167.00000000,114176.25000000,114149.09000000,114164.48000000
1759277040000000,114164.48000000,114211.40000000,114158.34000000,114211.40000000
1759277100000000,114211.41000000,114247.83000000,114211.40000000,114247.82000000
1759277160000000,114247.83000000,114308.00000000,114242.69000000,114255.99000000
1759277220000000,114256.00000000,114256.00000000,114208.00000000,114208.00000000
1759277280000000,114208.01000000,114238.46000000,114186.42000000,114206.01000000
1759277340000000,114206.01000000,114237.08000000,114194.07000000,114237.08000000
1759277400000000,114237.09000000,114237.09000000,114208.29000000,114208.29000000
1759277460000000,114208.29000000,114219.00000000,114190.01000000,114190.01000000
1759277520000000,114190.02000000,114202.81000000,114190.01000000,114202.81000000
1759277580000000,114202.81000000,114202.81000000,114146.94000000,114146.95000000
1759277640000000,114146.95000000,114156.18000000,114146.94000000,114156.18000000
1759277700000000,114156.17000000,114177.67000000,114146.69000000,114146.70000000
1759277760000000,114146.69000000,114157.07000000,114146.69000000,114146.69000000
1759277820000000,114146.70000000,114157.09000000,114105.10000000,114105.11000000
1759277880000000,114105.10000000,114141.00000000,114105.10000000,114141.00000000
1759277940000000,114141.00000000,114145.44000000,114128.68000000,114145.43000000
1759278000000000,114145.44000000,114177.93000000,114145.44000000,114160.78000000
1759278060000000,114160.79000000,114160.79000000,114103.82000000,114103.83000000
1759278120000000,114103.82000000,114103.83000000,114077.72000000,114077.72000000
1759278180000000,114077.73000000,114077.73000000,113966.92000000,114040.84000000
1759278240000000,114041.00000000,114041.00000000,113966.93000000,113992.78000000
1759278300000000,113992.78000000,114037.05000000,113992.78000000,114007.03000000
1759278360000000,114007.03000000,114028.54000000,113966.69000000,113966.69000000
1759278420000000,113966.69000000,114025.32000000,113966.67000000,114025.31000000
1759278480000000,114025.31000000,114046.74000000,114006.86000000,114036.70000000
1759278540000000,114036.70000000,114036.71000000,113983.19000000,114021.86000000
1759278600000000,114021.85000000,114041.32000000,114016.51000000,114027.93000000
1759278660000000,114027.93000000,114071.61000000,113983.38000000,114071.61000000
1759278720000000,114071.61000000,114103.51000000,114071.61000000,114094.89000000
1759278780000000,114094.89000000,114149.84000000,114094.89000000,114149.83000000
1759278840000000,114149.84000000,114227.99000000,114149.83000000,114210.01000000
1759278900000000,114210.02000000,114231.26000000,114179.23000000,114186.94000000
1759278960000000,114186.95000000,114186.95000000,114118.79000000,114118.79000000
1759279020000000,114118.80000000,114149.64000000,114100.41000000,114100.42000000
1759279080000000,114100.41000000,114100.42000000,114088.99000000,114094.99000000
1759279140000000,114095.00000000,114099.51000000,114080.92000000,114095.97000000
1759279200000000,114095.98000000,114095.98000000,114087.37000000,114087.37000000
1759279260000000,114087.38000000,114087.38000000,114077.00000000,114077.00000000
1759279320000000,114077.00000000,114077.01000000,114007.18000000,114007.18000000
1759279380000000,114007.18000000,114007.19000000,113983.65000000,113983.65000000
1759279440000000,113983.65000000,113983.66000000,113969.18000000,113969.19000000
1759279500000000,113969.19000000,114031.71000000,113969.18000000,114031.70000000
1759279560000000,114031.70000000,114045.85000000,114031.70000000,114040.85000000
1759279620000000,114040.86000000,114040.86000000,113972.86000000,113972.87000000
1759279680000000,113972.87000000,114009.00000000,113972.87000000,114008.92000000
1759279740000000,114008.91000000,114036.48000000,114008.91000000,114036.47000000
1759279800000000,114036.48000000,114091.82000000,114036.47000000,114071.20000000
1759279860000000,114071.21000000,114085.78000000,114048.22000000,114085.78000000
1759279920000000,114085.78000000,114107.27000000,114072.60000000,114090.01000000
1759279980000000,114090.01000000,114090.01000000,114090.00000000,114090.01000000
1759280040000000,114090.00000000,114225.00000000,114090.00000000,114225.00000000
1759280100000000,114225.00000000,114234.44000000,114224.99000000,114232.76000000
1759280160000000,114232.75000000,114255.00000000,114224.99000000,114235.74000000
1759280220000000,114235.74000000,114235.75000000,114198.79000000,114207.36000000
1759280280000000,114207.36000000,114207.36000000,114187.45000000,114204.76000000
1759280340000000,114204.76000000,114243.00000000,114204.76000000,114239.53000000
1759280400000000,114239.53000000,114239.53000000,114199.12000000,114199.12000000
1759280460000000,114199.12000000,114204.77000000,114170.58000000,114170.59000000
1759280520000000,114170.59000000,114170.59000000,114166.79000000,114166.80000000
1759280580000000,114166.79000000,114200.00000000,114142.99000000,114199.99000000
1759280640000000,114199.99000000,114244.78000000,114199.99000000,114235.75000000
1759280700000000,114235.75000000,114280.68000000,114235.75000000,114247.24000000
1759280760000000,114247.24000000,114303.32000000,114247.24000000,114303.31000000
1759280820000000,114303.31000000,114328.75000000,114303.31000000,114310.48000000
1759280880000000,114310.48000000,114310.48000000,114299.08000000,114299.08000000
1759280940000000,114299.07000000,114299.08000000,114295.01000000,114295.01000000
1759281000000000,114295.01000000,114398.97000000,114295.01000000,114374.99000000
1759281060000000,114375.00000000,114375.00000000,114323.80000000,114323.81000000
1759281120000000,114323.81000000,114340.89000000,114323.80000000,114325.13000000
1759281180000000,114325.12000000,114340.90000000,114325.12000000,114340.89000000
1759281240000000,114340.89000000,114360.03000000,114340.89000000,114348.16000000
1759281300000000,114348.16000000,114348.17000000,114343.03000000,114343.04000000
1759281360000000,114343.04000000,114429.76000000,114308.01000000,114332.98000000
1759281420000000,114332.99000000,114396.52000000,114332.99000000,114396.52000000
1759281480000000,114396.52000000,114402.94000000,114315.91000000,114315.91000000
1759281540000000,114315.91000000,114315.92000000,114230.00000000,114263.97000000
1759281600000000,114263.97000000,114292.89000000,114263.97000000,114289.52000000
1759281660000000,114289.53000000,114292.89000000,114234.45000000,114234.46000000
1759281720000000,114234.46000000,114250.85000000,114207.47000000,114250.84000000
1759281780000000,114250.85000000,114301.63000000,114234.45000000,114301.63000000
1759281840000000,114301.63000000,114301.87000000,114245.95000000,114301.87000000
1759281900000000,114301.86000000,114324.00000000,114275.40000000,114324.00000000
1759281960000000,114324.00000000,114338.85000000,114324.00000000,114337.14000000
1759282020000000,114337.14000000,114337.14000000,114308.95000000,114322.18000000
1759282080000000,114322.18000000,114355.73000000,114322.18000000,114355.73000000
1759282140000000,114355.73000000,114384.32000000,114348.50000000,114367.72000000
1759282200000000,114367.72000000,114367.72000000,114318.77000000,114318.77000000
1759282260000000,114318.77000000,114318.77000000,114273.20000000,114273.20000000
1759282320000000,114273.20000000,114273.21000000,114258.64000000,114258.64000000
1759282380000000,114258.64000000,114258.64000000,114246.92000000,114246.92000000
1759282440000000,114246.93000000,114246.93000000,114223.43000000,114232.63000000
1759282500000000,114232.63000000,114299.54000000,114232.63000000,114277.85000000
1759282560000000,114277.86000000,114298.51000000,114252.01000000,114298.51000000
1759282620000000,114298.50000000,114370.71000000,114298.50000000,114353.09000000
1759282680000000,114353.09000000,114366.94000000,114353.09000000,114354.29000000
1759282740000000,114354.30000000,114395.40000000,114354.29000000,114395.40000000
1759282800000000,114395.53000000,114418.83000000,114395.53000000,114417.89000000
